ID	Name	Sex	Treatment	t_limp	n_limb	n_bat	n_abeb	n_trec	n_and	n_vooc	n_pulp	n_darp	t_com	t_for	n_def	t_beb	n_empg	t_obs	n_pulo	n_estp	t_cant	n_vocc	t_rel	n_conf
4	M02	M	100	0	0	0	0	0	0	0	1	1	71.569	0	1	0	0	104.892	1	2	0	0	78.492	0
4	M02	M	90	0	0	0	0	0	0	0	0	0	0	0	1	0	0	215.018	0	4	0	0	49.559	0
4	M02	M	75	0	1	0	0	0	0	0	4	2	98.295	122.029	0	0	1	24.113	0	0	0	0	0	0
4	M02	M	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.35	0	2	0	0	222.117	0
4	M02	M	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23.515	0	1	0	0	249.156	0
5	M03	M	100	5.304	0	1	1	0	0	0	0	4	0	0	0	0	0	221.532	0	3	0	0	0	0
5	M03	M	90	57.745	0	2	0	0	0	0	0	2	0	0	0	0	0	275.568	0	3	0	0	0	0
5	M03	M	75	0	0	4	1	0	0	0	2	0	166.368	0	0	0	0	116.422	1	4	0	11	0	0
5	M03	M	50	0	1	1	7	0	0	0	1	4	0	12.01	0	0	0	257.755	4	3	0	4	0	0
5	M03	M	0	2.002	0	5	0	0	0	0	0	1	0	0	0	0	0	284.48	0	2	0	0	0	0
6	M06	M	100	1.201	0	0	0	0	0	8	48	1	145.338	0	0	0	1	36.239	9	8	2.903	12	0	0
6	M06	M	90	0	1	0	2	1	0	15	14	0	54.953	0	0	0	0	157.263	22	1	0	9	0	0
6	M06	M	75	3.009	0	0	0	1	0	3	33	0	0	0	1	0	0	160.668	8	7	12.11	31	0	0
6	M06	M	50	1.301	0	0	0	1	0	0	18	0	49.851	0	0	0	0	30.735	2	4	34.142	28	0	0
6	M06	M	0	2.298	0	0	1	0	0	1	19	0	28.531	0	0	0	0	112.285	5	8	0	20	17.018	0
7	M08	M	100	1.403	0	1	0	0	0	2	8	0	134.939	0	0	0	0	128.723	6	0	0	0	0	0
7	M08	M	90	0	9	1	4	0	0	1	8	1	157.255	6.908	0	0	0	89.699	5	0	0	0	0	0
7	M08	M	75	2.306	0	3	0	1	0	1	0	0	0	0	0	0	0	279.079	3	1	0	0	0	0
7	M08	M	50	0	0	0	1	0	0	6	2	0	146.751	0	0	0	0	113.616	3	3	0	2	0	0
7	M08	M	0	0	0	1	1	0	0	3	0	0	21.02	0	0	0	0	260.269	2	1	0	1	0	0
8	M10	M	100	1.002	0	0	0	0	0	0	0	0	0	0	0	0	0	154.444	0	0	0	1	113.925	0
8	M10	M	90	0	0	1	0	0	0	0	0	0	0	0	1	0	0	182.577	0	0	0	0	83.842	0
8	M10	M	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.92	0	0	0	0	154.35	0
8	M10	M	50	0	0	2	0	0	0	0	0	2	0	0	0	0	1	280.379	3	0	0	0	0	0
8	M10	M	0	0	0	5	1	0	0	2	0	0	0	0	0	0	1	286.382	0	0	0	0	0	0
9	M09	M	100	0	0	0	1	0	0	0	0	0	0	0	0	0	0	128.024	4	2	0	0	140.538	0
9	M09	M	90	0	1	0	0	0	0	5	0	0	190.192	0	0	0	1	56.864	8	7	0	0	0	0
